ComplaintId,CaseDisposition,WebsiteDocumentFileName,ClosedDate,totalPosted,totalClosedCase,LastPublishDate
201407229,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407229_RedactedClosingReport.pdf,08/25/2017,2642,14475,02/01/2024
201407249,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407249_RedactedClosingReport.pdf,02/26/2015,2642,14475,02/01/2024
201407314,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407314_RedactedClosingReport.pdf,04/29/2015,2642,14475,02/01/2024
201407332,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407332_RedactedClosingReport.pdf,07/13/2016,2642,14475,02/01/2024
201407434,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407434_RedactedClosingReport.pdf,06/04/2015,2642,14475,02/01/2024
201407437,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407437_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201407447,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407447_RedactedClosingReport.pdf,01/30/2015,2642,14475,02/01/2024
201407491,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407491_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201407556,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407556_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201407568,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407568_RedactedClosingReport.pdf,05/15/2015,2642,14475,02/01/2024
201407703,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407703_RedactedClosingReport.pdf,09/18/2015,2642,14475,02/01/2024
201407738,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407738_RedactedClosingReport.pdf,04/14/2015,2642,14475,02/01/2024
201407803,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407803_RedactedClosingReport.pdf,08/31/2015,2642,14475,02/01/2024
201407831,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407831_RedactedClosingReport.pdf,03/30/2015,2642,14475,02/01/2024
201407876,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407876_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
201407889,Substantiated (Command Discipline A),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407889_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
201407942,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201407942_RedactedClosingReport.pdf,06/30/2015,2642,14475,02/01/2024
201408178,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201408178_RedactedClosingReport.pdf,07/28/2015,2642,14475,02/01/2024
